Symbol	quant
Stock01	3300
Stock02	3500
Stock03	1800
Stock04	1800
Stock05	1700
Stock06	1300
Stock07	2600
Stock08	2000
Stock09	3000
Stock10	1600
Stock11	2100
Stock12	3600
Stock13	1500
Stock14	2000
Stock15	 400
Stock16	 300
Stock17	3900
Stock18	2800
Stock19	 900
Stock20	3200
Stock21	 200
Stock22	 900
Stock23	3200
Stock24	 100
Stock25	 600
Stock26	1000
Stock27	 600
Stock28	 300
Stock29	3900
Stock30	 300
Stock31	 600
Stock32	2500
Stock33	2700
Stock34	 100
Stock35	1900
Stock36	2900
Stock37	3600
Stock38	2400
Stock39	 700
Stock40	 600
Stock41	3500
Stock42	 200
Stock43	3300
Stock44	1400
Stock45	2600
Stock46	2800
Stock47	3700
Stock48	3800
Stock49	 200
Stock50	2200
Stock51	3000
Stock52	3200
Stock53	 300
Stock54	2200
Stock55	1500
Stock56	3300
Stock57	1000
